column_name,explanation,source
solar_system_count,low (less than 10) or high solar power system coverage,deepsolar
state,state name,ACS 2015 (5-Year Estimates)
average_household_income,average annual houshold income ($),ACS 2015 (5-Year Estimates)
employed,number of employed people,ACS 2015 (5-Year Estimates)
gini_index,gini index,ACS 2015 (5-Year Estimates)
land_area,total land area (mile^2),ACS 2015 (5-Year Estimates)
per_capita_income,per capita annual income ($),ACS 2015 (5-Year Estimates)
population,total population,ACS 2015 (5-Year Estimates)
population_density,population density (/mile^2),ACS 2015 (5-Year Estimates)
total_area,total area (mile^2),ACS 2015 (5-Year Estimates)
unemployed,number of unemployed people,ACS 2015 (5-Year Estimates)
water_area,total water area (mile^2),ACS 2015 (5-Year Estimates)
education_less_than_high_school_rate,ratio of less than high school level people after 25 years old,ACS 2015 (5-Year Estimates)
education_high_school_graduate_rate,ratio of high school graduate level people  (as highest degree) after 25 years old,ACS 2015 (5-Year Estimates)
education_college_rate,ratio of college level people (as highest degree) after 25 years old,ACS 2015 (5-Year Estimates)
education_bachelor_rate,ratio of bachelor level people (as highest degree) after 25 years old,ACS 2015 (5-Year Estimates)
education_master_rate,ratio of master level people (as highest degree) after 25 years old,ACS 2015 (5-Year Estimates)
education_professional_school_rate,ratio of professional school level people (as highest degree) after 25 years old,ACS 2015 (5-Year Estimates)
education_doctoral_rate,ratio of doctoral level people (as highest degree) after 25 years old,ACS 2015 (5-Year Estimates)
race_white_rate,ratio of whites,ACS 2015 (5-Year Estimates)
race_black_africa_rate,ratio of black or African Americans,ACS 2015 (5-Year Estimates)
race_indian_alaska_rate,ratio of American Indians and Alaska natives,ACS 2015 (5-Year Estimates)
race_asian_rate,ratio of Asians,ACS 2015 (5-Year Estimates)
race_islander_rate,ratio of native Hawaiians and other Pacific islanders,ACS 2015 (5-Year Estimates)
race_other_rate,ratio of people of other races,ACS 2015 (5-Year Estimates)
race_two_more_rate,raio of people with two or more races,ACS 2015 (5-Year Estimates)
employ_rate,empoyment rate,ACS 2015 (5-Year Estimates)
poverty_family_below_poverty_level_rate,ratio of people with two or more races,ACS 2015 (5-Year Estimates)
heating_fuel_gas_rate,ratio of house units using gas as heating fuel,ACS 2015 (5-Year Estimates)
heating_fuel_electricity_rate,ratio of house units using electricity as heating fuel ,ACS 2015 (5-Year Estimates)
heating_fuel_fuel_oil_kerosene_rate,ratio of house units using fuel/oil/kerosene as heating fuel,ACS 2015 (5-Year Estimates)
heating_fuel_coal_coke_rate,ratio of house units using coal/coke/wood as heating fuel ,ACS 2015 (5-Year Estimates)
heating_fuel_other_rate,ratio of house units using other resources as heating fuel,ACS 2015 (5-Year Estimates)
heating_fuel_none_rate,ratio of house units using no heating fuel,ACS 2015 (5-Year Estimates)
